year,genre,fraction
1824,fiction,0.02379182156133829
1825,fiction,0.01815736381977135
1826,fiction,0.025394045534150613
1827,fiction,0.04514480408858603
1828,fiction,0.01808590806330068
1829,fiction,0.028208744710860368
1830,fiction,0.020509633312616533
1831,fiction,0.01642710472279261
1832,fiction,0.0337465564738292
1833,fiction,0.032642812303829254
1834,fiction,0.02598936798582398
1835,fiction,0.044648318042813454
1836,fiction,0.025380710659898477
1837,fiction,0.020833333333333332
1838,fiction,0.020769700671960906
1839,fiction,0.022185246810870772
1840,fiction,0.0255885363357216
1841,fiction,0.023694130317716746
1842,fiction,0.031755915317559155
1843,fiction,0.018856447688564478
1844,fiction,0.02620967741935484
1845,fiction,0.026607538802660754
1846,fiction,0.025014212620807278
1847,fiction,0.026475455046883617
1848,fiction,0.024555903866248695
1849,fiction,0.029714285714285714
1850,fiction,0.02570204664445502
1851,fiction,0.025456292026897216
1852,fiction,0.03412073490813648
1853,fiction,0.030215827338129497
1854,fiction,0.02669683257918552
1855,fiction,0.032837352488455616
1856,fiction,0.03827540695116586
1857,fiction,0.03583535108958838
1858,fiction,0.0386058981233244
1859,fiction,0.02567901234567901
1860,fiction,0.03403493058665472
1861,fiction,0.027246376811594204
1862,fiction,0.03344262295081967
1863,fiction,0.0453224869262057
1864,fiction,0.04623115577889447
1865,fiction,0.051220679751077074
1866,fiction,0.04066130473637176
1867,fiction,0.04847576211894053
1868,fiction,0.04582074521651561
1869,fiction,0.04563492063492063
1870,fiction,0.03821102909248806
1871,fiction,0.04449877750611247
1872,fiction,0.036435469710272166
1873,fiction,0.047058823529411764
1874,fiction,0.03910614525139665
1875,fiction,0.04717364782431883
1876,fiction,0.037451872593629684
1877,fiction,0.03873517786561265
1878,fiction,0.04014167650531287
1879,fiction,0.037435284747112704
1880,fiction,0.03819643882825962
1881,fiction,0.039150630391506305
1882,fiction,0.03686366296079579
1883,fiction,0.03942857142857143
1884,fiction,0.04204379562043795
1885,fiction,0.03684210526315789
1886,fiction,0.04750801515593121
1887,fiction,0.03949077682514939
1888,fiction,0.0360270202651989
1889,fiction,0.042941630239136025
1890,fiction,0.036
1891,fiction,0.040304523063143756
1892,fiction,0.03893399958359359
1893,fiction,0.04667670466767047
1894,fiction,0.04343971631205674
1895,fiction,0.03633291085762569
1896,fiction,0.041970443349753694
1897,fiction,0.032489535579031295
1898,fiction,0.029103815439219166
1899,fiction,0.028123559243891195
1900,fiction,0.008849557522123894
1901,fiction,0.018701222205860697
1902,fiction,0.012260336507108387
1903,fiction,0.014187643020594966
1904,fiction,0.013956105796285876
1905,fiction,0.011839174774352363
1906,fiction,0.017767079321412197
1907,fiction,0.015600966820479015
1908,fiction,0.019911991199119912
1909,fiction,0.018891820580474936
1910,fiction,0.018159927761613324
1911,fiction,0.019886937209771856
1912,fiction,0.01815119760479042
1913,fiction,0.021083483029214332
1914,fiction,0.017655571635311142
1915,fiction,0.020735719270262187
1916,fiction,0.016671718702637162
1917,fiction,0.020211442786069653
1918,fiction,0.018596691386195095
1919,fiction,0.019268030139935416
1920,fiction,0.019262369910534965
1921,fiction,0.01827089925487394
1922,fiction,0.020819957809777124
1923,fiction,0.009453781512605041
1924,fiction,0.0192975685063682
1925,fiction,0.017316806416332483
1926,fiction,0.01969286359530262
1927,fiction,0.021013387561430265
1928,fiction,0.021643557659790327
1929,fiction,0.02263952263952264
1930,fiction,0.020553237521248647
1931,fiction,0.022535667963683528
1932,fiction,0.019658753709198812
1933,fiction,0.022762050497322113
1934,fiction,0.02233296419342931
1935,fiction,0.022953586497890296
1936,fiction,0.021631439894319683
1937,fiction,0.023207426376440462
1938,fiction,0.020618556701030927
1939,fiction,0.013652912621359222
1940,fiction,0.01496379726468222
1941,fiction,0.018954918032786885
1942,fiction,0.01867816091954023
1943,fiction,0.022467481277098935
1944,fiction,0.027170311464546057
1945,fiction,0.024955080854461967
1946,fiction,0.023997423095506523
1947,fiction,0.019105691056910568
1948,fiction,0.016977708657335406
1949,fiction,0.013865444899927658
1950,fiction,0.015481216845296093
1951,fiction,0.018547325595309323
1952,fiction,0.016271835367312755
1953,fiction,0.01644586569209685
1954,fiction,0.017641804376953996
1955,fiction,0.015085979533706087
1956,fiction,0.01567701063030173
1957,fiction,0.015157639450282943
1958,fiction,0.013301330133013302
1959,fiction,0.012853967333526626
1960,fiction,0.012533929426792273
1961,fiction,0.010496850944716585
1962,fiction,0.009666017456538988
1963,fiction,0.010240517415616789
1964,fiction,0.007504985829747035
1965,fiction,0.006633977502163254
1966,fiction,0.007370786516853933
1967,fiction,0.005744925315970892
1968,fiction,0.006330103157236636
1969,fiction,0.005959761609535618
1970,fiction,0.006455256999919309
1971,fiction,0.00464656025470034
1972,fiction,0.004912829876961871
1973,fiction,0.006324539212143115
1974,fiction,0.007143870937219094
1975,fiction,0.0073232323232323236
1976,fiction,0.008871856790382698
1977,fiction,0.008364001338240215
1978,fiction,0.008768543539403298
1979,fiction,0.009725906277630416
1980,fiction,0.009397366551931378
1981,fiction,0.009637317518248175
1982,fiction,0.010367949512593677
1983,fiction,0.007954482682428326
1984,fiction,0.008757230120547056
1985,fiction,0.010411609214004424
1986,fiction,0.009487967772712817
1987,fiction,0.012600290775940983
1988,fiction,0.014277465749829405
1989,fiction,0.012972646822204344
1990,fiction,0.01244092969428103
1991,fiction,0.01412688698490412
1992,fiction,0.014626959907397664
1993,fiction,0.014874651810584958
1994,fiction,0.01850375768617627
1995,fiction,0.016892282772185584
1996,fiction,0.019680271284970328
1997,fiction,0.020669904121529074
1998,fiction,0.020144162697901917
1999,fiction,0.02146796218487395
2000,fiction,0.021561241719703857
2001,fiction,0.021942656524283205
2002,fiction,0.0217858466098555
2003,fiction,0.024835474772798495
2004,fiction,0.02540849034477367
2005,fiction,0.026737085327611817
2006,fiction,0.02680039460703716
2007,fiction,0.0297064822204487
