,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
78952,mdp.39015021846574|Zippe,mdp.39015021846574,1991,f,"Stern, Steve,",Harry Kaplan's adventures underground / | $c: Steve Stern.,m,,1991,f,0
34437,6319|MissEdgerly,6319,1881,f,"(Frances Campbell), Sparhawk, Frances C.",A lazy man's work;,m,,1881,f,0
35633,8231|Mrs.Skewton,8231,1880,f,"Dickens, Charles,",Works,m,,1880,f,0
43199,nyp.33433074946850|Jane,nyp.33433074946850,1903,f,"Clouston, J. Storer (Joseph Storer),",Our lady's inn;,m,,1903,f,0
33950,3317|Mrs.Sage,3317,1882,f,"Blackmore, R. D. (Richard Doddridge),",Christowell,m,,1882,f,0
38214,13395|Barbara,13395,1890,f,"Bandello, Matteo,",The novels of Matteo Bandello,m,,1890,f,0
59228,uc1.$b86172|Henrietta,uc1.$b86172,1945,f,"Brinig, Myron,",You and I / | $c: by Myron Brinig.,m,,1945,f,0
79464,mdp.39015029264333|MrsFaraday,mdp.39015029264333,1992,f,"Trevor, William,",Collected stories / | $c: William Trevor.,m,,1992,f,0
55745,uc1.$b244767|Ruth,uc1.$b244767,1936,f,"Strong, L. A. G. (Leonard Alfred George),","The last enemy; | a study of youth, | $c: by L. A. G. Strong.",m,,1936,f,0
70963,mdp.39015002710211|Mrs.Grace,mdp.39015002710211,1979,f,"Powers, James.",Estate of Grace / | $c: James Powers.,m,,1979,f,0
63662,uc1.32106002157912|Sandy,uc1.32106002157912,1955,f,"Wouk, Herman,",Marjorie Morningstar.,m,,1955,f,0
30814,3664|MissLightner,3664,1871,f,"Arthur, T. S. (Timothy Shay),","Orange blossoms, fresh and faded",m,,1871,f,0
54738,mdp.39015002711383|Julia,mdp.39015002711383,1930,f,"Powys, Theodore Francis,","The white paternoster, and other stories.",m,,1930,f,0
3434,11106|Mrs.Guilford,11106,1808,f,"Moore, George,",Tales of the passions;,m,,1808,f,0
54048,mdp.39015012989037|MissMathilda,mdp.39015012989037,1932,f,"Dos Passos, John,",1919.,m,,1932,f,0
59642,uc1.b3116853|Cathy,uc1.b3116853,1943,f,"Longstreet, Stephen,",The land I live : | a novel / | $c: by Stephen Longstreet ...,m,,1943,f,0
71457,uc1.b4948541|Cohen,uc1.b4948541,1970,f,"Deighton, Len,","Bomber; | events relating to the last flight of an R.A.F. [bomber] over Germany on the night of June 31, 1943.",m,,1970,f,0
57998,uc1.$b56168|SallyFlorence,uc1.$b56168,1949,f,"Powers, Paul S.",Doc Dillahay.,m,,1949,f,0
43644,nyp.33433074808530|Silverton,nyp.33433074808530,1904,f,"Carr, Clark E. (Clark Ezra),",The Illini,m,,1904,f,0
35413,2836|DonaGertrudis,2836,1886,f,"Palacio Valdés, Armando,",The Marquis of Peñalta (Marta y María),m,,1886,f,0
70829,mdp.39015003918144|Venus,mdp.39015003918144,1974,f,"Spenser, Edmund,",The Faerie queene / | $c: Edmund Spenser ; introd. by J. W. Hales.,m,,1974,f,0
51273,uc1.$b730055|AnaMarfa,uc1.$b730055,1921,f,"Martínez Sierra, Gregorio,",Ana Maria,m,,1921,f,0
58625,uc1.$b105338|Johnson,uc1.$b105338,1948,f,"McCrae, Hugh,",Story-book only.,m,,1948,f,0
74708,mdp.39015010369000|Lizzie,mdp.39015010369000,1986,f,"Johnson, Charles (Charles Richard),",The sorcerer's apprentice / | $c: Charles Johnson.,m,,1986,f,0
30234,14646|NancyHamper,14646,1877,f,"Smart, Hawley,",Bound to win,m,,1877,f,0
50636,uc1.$b243575|Louisa,uc1.$b243575,1926,f,"O'Flaherty, Liam,",The tent / | $c: by Liam O'Flaherty.,m,,1926,f,0
23093,5943|Judy,5943,1853,f,"Quigley, Hugh,",The cross and the shamrock;,m,,1853,f,0
75123,mdp.39015015357497|AuntEugenia,mdp.39015015357497,1988,f,"Pombo, Alvaro.",The hero of the big house / | $c: Alvaro Pombo ; translated by Margaret Jull Costa.,m,,1988,f,0
57960,uc1.b3295239|Mother,uc1.b3295239,1944,f,"Thompson, Edward John,",Burmese silver.,m,,1944,f,0
6477,12366|Mary,12366,1815,f,"Cunningham, J. W. (John William),",Pneumanee;,m,,1815,f,0
43761,uc2.ark+=13960=t10p0x32f|Mrs.Cristie,uc2.ark+=13960=t10p0x32f,1901,f,"Stockton, Frank Richard, 1834-1902.",The Squirrel inn,m,,1901,f,0
78565,mdp.39015046874940|Annie,mdp.39015046874940,1999,f,"McBain, Ed,",The big bad city : | a novel of the 87th Precinct / | $c: Ed McBain.,m,,1999,f,0
42620,mdp.39015073390521|Mrs.Northrop,mdp.39015073390521,1902,f,"Linn, James Weber,",The second generation,m,,1902,f,0
55730,uc1.$b104487|Mary,uc1.$b104487,1934,f,"Young, Francis Brett,",This little world.,m,,1934,f,0
39429,11672|Mrs.Thorn,11672,1891,f,"Trollope, Anthony,",The chronicles of Barsetshire,m,,1891,f,0
35063,11596|Mrs.Hotspur,11596,1887,f,"Campbell, Archibald.",Captain MacDonald's daughter,m,,1887,f,0
66380,mdp.39015024828074|ElliePelsky,mdp.39015024828074,1960,f,"Barber, Rowland.",The night they raided Minsky's: | a fanciful expedition to the lost Atlantis of show business.,m,,1960,f,0
