word,docfreq
leapt,60
advised,60
brushed,60
patience,60
was-stop,59
was-offended,59
deserved,59
image,59
exchanged,59
fit,59
was-driven,59
breathing,59
sleeve,59
preparing,59
wrapped,59
was-lifted,59
permit,59
related,59
trouble,59
was-stood,58
sort,58
ignorance,58
interests,58
plunged,58
patted,58
drive,58
light,58
regretted,58
parent,58
dragged,58
dwelled,58
spare,58
crying,58
elbows,58
was-deceived,58
guard,58
despised,58
doubts,58
fled,58
host,58
adopted,58
nothing,58
was-laughed,58
killed,58
witnessed,57
drink,57
pretended,57
fail,57
inquiries,57
staring,57
servants,57
abode,57
decide,57
careful,57
sex,57
groaned,57
was-remind,57
resentment,57
crept,57
respect,57
hungry,57
summoned,57
behalf,57
venture,57
esteem,57
was-looked,57
victim,56
was-permitted,56
there,56
claim,56
eaten,56
indulged,56
was-ordered,56
was-wished,56
denied,56
returning,56
being,56
concealed,56
selected,56
opinions,56
ignorant,56
anything,56
stranger,56
locked,56
resented,56
counted,56
devotion,56
couch,56
was-conducted,56
was-vexed,56
continue,56
guess,56
asks,56
faltered,56
examined,55
observation,55
was-assisted,55
strolled,55
performed,55
hour,55
affected,55
grinned,55
save,55
travelled,55
guilty,55
brothers,55
coffee,55
convinced,55
satisfied,55
was-offered,55
contemplated,55
was-welcomed,55
was-assure,55
was-drawing,54
footsteps,54
confided,54
searched,54
was-mentioned,54
growing,54
tall,54
was-calling,54
enthusiasm,54
maintained,54
incapable,54
actions,54
was-alarmed,54
was-concerning,54
'll,54
was-attached,54
flesh,54
attend,54
was-troubled,54
leg,54
keeps,54
generosity,54
retreat,54
bow,54
was-treat,54
heel,54
assisted,54
estate,54
support,54
jacket,54
dream,54
deemed,54
was-showed,54
applied,53
was-console,53
raise,53
weight,53
subject,53
was-possessed,53
now,53
caused,53
devoted,53
strode,53
dashed,53
was-drive,53
miss,53
sorrows,53
was-hated,53
destiny,53
car,53
suspect,53
unhappy,52
belief,52
was-escaped,52
staggered,52
nostrils,52
was-astonished,52
was-understand,52
staying,52
land,52
professed,52
recover,52
wrong,52
was-visited,52
cold,52
catch,52
indifference,52
language,52
was-respecting,52
embraced,52
rival,52
resisted,52
tea,52
served,52
succeed,52
was-shown,52
progress,52
accustomed,51
rank,51
bonnet,51
laughter,51
claimed,51
weak,51
stands,51
mused,51
talents,51
was-echoed,51
extended,51
collected,51
excited,51
excused,51
was-believe,51
was-retorted,51
was-awaited,51
was-serve,51
flattered,51
jealous,51
was-raised,51
shake,51
secured,51
supported,50
resolve,50
named,50
profession,50
conducted,50
evening,50
rooms,50
was-threw,50
was-regarding,50
tale,50
retained,50
judge,50
ease,50
was-shouted,50
faculties,50
dignity,50
search,50
answers,50
innocence,50
embarrassment,50
snapped,50
possession,50
asking,49
was-amazed,49
impatient,49
lit,49
was-detained,49
understanding,49
was-promised,49
pupil,49
wondering,49
swore,49
amused,49
was-hit,49
conviction,49
committed,49
example,49
composure,49
attendance,49
burden,49
worn,49
flight,49
was-dragged,49
meeting,49
was-remember,49
skirt,49
released,49
welcomed,49
ignored,49
displayed,49
nurse,49
was-trust,48
was-reduced,48
was-exhausted,48
delivered,48
sensible,48
slid,48
recognise,48
errand,48
was-bringing,48
was-pursued,48
was-betrayed,48
surveyed,48
ill,48
hinted,48
was-reach,48
marked,48
reverie,48
was-worried,48
fain,48
was-entreated,48
class,48
'd,48
about,48
was-hate,48
was-watch,48
swallowed,48
was-face,48
deal,48
was-marrying,48
tenderness,48
was-occupied,48
style,48
was-forget,47
regained,47
humour,47
art,47
prevailed,47
papers,47
refusal,47
was-accepted,47
carrying,47
gloves,47
household,47
spared,47
paper,47
was-served,47
advantage,47
was-recalled,47
worth,47
was-dismissed,47
up,47
confusion,47
passing,47
knife,47
shed,47
rich,47
troubles,47
hesitate,47
detected,47
ground,47
complied,47
conceal,47
was-mistaken,47
was-faced,47
kicked,47
thanks,47
thankful,47
card,46
hate,46
pictured,46
force,46
weeping,46
bent,46
reflections,46
calling,46
direction,46
implored,46
draw,46
admit,46
sword,46
lowered,46
was-annoyed,46
was-miss,46
dispatched,46
eager,46
sing,46
abandoned,46
was-draw,46
cousins,46
genius,46
quit,46
sold,46
was-disturb,46
was-haunted,46
skill,46
was-desired,46
older,46
well,46
driven,46
consciousness,46
was-accused,46
overheard,46
shrunk,45
sacrificed,45
guilt,45
offended,45
was-shut,45
sons,45
expectations,45
motives,45
leaves,45
speaks,45
was-absorbed,45
prayers,45
line,45
was-inspired,45
perceive,45
pray,45
signed,45
obtain,45
stroked,45
stuck,45
disappointed,45
was-supported,45
meaning,45
swept,45
was-excited,44
was-overwhelmed,44
acting,44
discover,44
was-drove,44
was-enabled,44
expressions,44
pace,44
proposal,44
was-interrupting,44
instructions,44
was-claimed,44
stick,44
apron,44
was-sought,44
was-paid,44
writes,44
was-remembered,44
holds,44
thank,44
was-restore,44
was-bore,44
compliments,44
credit,44
unconscious,44
exerted,44
grow,44
pulse,44
learning,44
inclined,44
communicated,43
straightened,43
same,43
custom,43
wits,43
firm,43
reception,43
moving,43
proceed,43
stated,43
ambition,43
chuckled,43
throw,43
rage,43
apartments,43
desirous,43
grace,43
preserved,43
bones,43
was-removed,43
was-afforded,43
sounded,43
adored,43
knowing,43
was-attended,42
kill,42
was-handed,42
virtues,42
was-assuring,42
emerged,42
hearing,42
blew,42
estimation,42
consulted,42
was-meeting,42
was-having,42
curls,42
commented,42
was-soothed,42
income,42
supper,42
was-hurried,42
school,42
gazing,42
buried,42
all,42
pondered,42
was-helping,42
beloved,42
job,42
was-wish,42
entreaties,42
sound,42
attempts,42
tied,42
collar,42
buy,42
was-been,41
was-lose,41
was-is,41
observations,41
ones,41
awakened,41
dance,41
long,41
kiss,41
sobs,41
sides,41
trembling,41
win,41
walks,41
circumstances,41
order,41
attendant,41
amusement,41
welfare,41
ascended,41
was-restored,41
was-kissing,41
ring,41
horror,41
was-giving,41
hit,41
motioned,41
was-protect,41
evinced,41
objected,41
blind,41
widow,41
fashion,41
uneasiness,41
freedom,41
was-comforted,41
palm,41
was-fetch,41
