word,docfreq
moustache,49
strong,49
pull,49
earned,49
grin,49
poked,49
exploded,49
drifted,49
was-paid,49
spat,49
confided,49
declined,49
upset,49
forgive,49
stole,49
walks,49
was-covered,49
objected,49
fingernails,49
admit,49
hide,49
obeyed,49
advanced,49
faith,48
responsible,48
fit,48
command,48
composure,48
stare,48
gloves,48
throw,48
envied,48
smoked,48
descended,48
temple,48
retorted,48
resolved,48
proceeded,48
personality,48
clothing,48
was-saved,48
was-come,48
was-disturbed,48
propped,48
concentrated,48
was-pick,48
buttocks,48
stripped,48
welcomed,47
papers,47
phoned,47
ripped,47
shake,47
unlocked,47
named,47
success,47
ankle,47
was-shot,47
shrieked,47
likely,47
gulped,47
bore,47
was-knocked,47
kitchen,47
excitement,47
visits,47
was-whispered,47
believes,47
whipped,47
planted,47
hours,47
'd,47
tipped,47
was-considered,47
host,47
was-believed,47
problems,47
fight,47
persuaded,47
witnessed,47
applied,47
was-studied,46
search,46
mounted,46
thing,46
was-dropped,46
around,46
draw,46
groped,46
was-walked,46
banged,46
studying,46
dreaded,46
friendship,46
acting,46
reputation,46
doctor,46
remark,46
failure,46
helping,46
punched,46
path,46
wonder,46
evening,46
short,46
dreaming,46
was-been,46
affairs,46
was-drive,46
seated,46
comment,45
nightgown,45
scrambled,45
stiffened,45
instructed,45
weeping,45
marched,45
grumbled,45
consciousness,45
fork,45
was-shaken,45
strained,45
dipped,45
handled,45
selected,45
meal,45
forearm,45
was-shown,45
trusted,45
bothered,45
shorts,45
ride,45
pulling,45
stories,45
telephoned,45
embraced,45
ring,45
flashed,45
lucky,45
emptied,45
birth,45
appreciate,45
confusion,44
remembers,44
was-awakened,44
halted,44
raise,44
fed,44
refuse,44
understanding,44
pregnant,44
was-advised,44
excused,44
studies,44
singing,44
was-accompanied,44
committed,44
was-hate,44
was-betrayed,44
audience,44
was-convince,44
beckoned,44
accused,44
surroundings,44
present,44
bottle,44
orders,44
agree,44
scalp,44
chewed,44
was-kissing,44
leaves,44
was-answer,44
notebook,44
was-accompany,44
napkin,44
building,43
accent,43
curled,43
order,43
pack,43
dozed,43
was-attracted,43
trembling,43
pondered,43
stool,43
was-look,43
summoned,43
handle,43
preparing,43
morning,43
accompanied,43
neighbours,43
smoothed,43
was-shouted,43
satisfaction,43
lacked,43
teased,43
game,43
weak,43
talks,43
hard,43
desired,43
flinched,43
was-waved,43
was-turn,43
learning,43
rocked,43
detected,43
employer,43
was-impressed,43
moves,43
adjusted,43
was-laid,42
stuffed,42
marvelled,42
reluctant,42
braced,42
tightened,42
pronounced,42
was-distracted,42
garden,42
ceased,42
cupped,42
was-warn,42
was-mean,42
was-eyed,42
despised,42
perceived,42
memories,42
victim,42
was-exclaimed,42
scowled,42
was-begged,41
hiding,41
was-overcome,41
beamed,41
screaming,41
was-questioned,41
holds,41
bags,41
drawn,41
notes,41
visitor,41
cocked,41
inspected,41
save,41
answers,41
unaware,41
wits,41
was-nudged,41
pursued,41
heaved,41
staff,41
hears,41
abandoned,41
was-getting,41
loss,41
message,41
over,41
again,41
cooked,41
system,41
concentration,40
was-reminding,40
cook,40
was-alarmed,40
belongings,40
neighbour,40
was-having,40
edged,40
patience,40
box,40
energy,40
uneasy,40
rejected,40
type,40
country,40
nudged,40
socks,40
screwed,40
colleagues,40
faltered,40
denied,40
wears,40
guided,40
gift,40
practised,40
landed,40
wine,40
was-patted,40
was-miss,40
was-stood,40
disappointment,40
torso,40
begins,40
overheard,40
avoid,40
speaks,40
astonishment,40
about,40
education,40
was-invite,40
showered,39
that,39
instructions,39
hates,39
attacked,39
serious,39
stunned,39
clenched,39
dialled,39
hanging,39
jump,39
was-reassure,39
starts,39
check,39
profile,39
corner,39
fortune,39
was-overwhelmed,39
acquired,39
weakness,39
impatience,39
hauled,39
forefinger,39
was-escaped,39
train,39
was-confronted,39
was-accustomed,39
was-relaxed,39
was-suited,39
remembering,39
parted,39
vanished,39
scream,39
raced,39
charged,39
threatened,39
was-shut,39
lunged,39
borrowed,39
ways,39
conceded,39
lain,38
hoping,38
instinct,38
air,38
pinched,38
blame,38
flight,38
tracks,38
darted,38
quarters,38
task,38
loneliness,38
encouraged,38
favour,38
object,38
dinner,38
was-promised,38
remain,38
was-bother,38
mirror,38
ideas,38
freedom,38
showing,38
cabin,38
caused,38
reasoned,38
cries,38
drained,38
performed,38
groin,38
squatted,38
was-prevent,38
enough,38
win,38
firm,38
runs,38
acquaintance,38
was-pushing,38
was-guided,38
late,38
sisters,38
appetite,38
hang,38
member,38
troubles,38
colour,38
paper,38
guilt,38
niece,37
misery,37
welcome,37
joy,37
pulls,37
warm,37
dignity,37
water,37
away,37
familiar,37
pursed,37
tail,37
created,37
cleaned,37
favourite,37
scared,37
hate,37
add,37
purpose,37
was-served,37
relieved,37
lets,37
contemplated,37
off,37
signalled,37
inhaled,37
lunch,37
size,37
briefcase,37
speed,37
wailed,37
hired,37
was-gripped,37
deny,37
formed,37
was-absorbed,37
hastened,37
secret,37
stated,37
arrive,37
lies,37
sleeves,37
refusal,37
sweater,37
meaning,37
identified,36
sword,36
grow,36
course,36
agent,36
whirled,36
was-observed,36
trailed,36
hidden,36
controlled,36
plucked,36
discover,36
was-received,36
cringed,36
was-affected,36
small,36
list,36
experiences,36
struggling,36
was-prevented,36
was-obliged,36
stammered,36
cool,36
was-ignoring,36
closet,36
kneeling,36
enemies,36
slow,36
embarrassed,36
attempts,36
was-forget,36
starting,36
survived,36
fingered,36
volunteered,36
receive,36
school,36
vowed,36
shed,36
whistled,36
wrenched,36
scolded,36
was-meant,36
attack,36
risen,36
losing,36
nods,35
underwear,35
argue,35
calculated,35
was-summoned,35
nephew,35
was-locked,35
was-shoved,35
proved,35
brings,35
resolve,35
bringing,35
yanked,35
worth,35
startled,35
was-handed,35
dashed,35
was-depressed,35
deal,35
embarrassment,35
was-keeping,35
intentions,35
guilty,35
was-ushered,35
was-pressed,35
occupied,35
reacted,35
fished,35
was-tells,35
cigarettes,35
kid,35
countered,35
delight,35
mistaken,35
leading,35
was-possessed,35
advantage,35
everything,35
pyjamas,35
echoed,35
remarks,35
due,35
circled,35
concerned,35
missing,35
affection,35
shop,35
watches,35
suspicions,35
pounded,34
identity,34
ai,34
rifle,34
invented,34
nipples,34
recited,34
exhaled,34
popped,34
destination,34
was-dragging,34
panted,34
scooped,34
was-treat,34
wounds,34
was-phoned,34
was-directed,34
engaged,34
determination,34
times,34
embrace,34
revealed,34
opening,34
anything,34
was-fixed,34
barked,34
was-presented,34
behalf,34
surrendered,34
cause,34
impulse,34
status,34
was-trusted,34
maid,34
dislike,34
shy,34
was-teased,34
bill,34
was-added,34
comfortable,34
fighting,34
little,34
cards,34
confused,34
was-strike,34
clever,34
returning,34
bent,34
riding,34
innocence,33
measured,33
reaches,33
intent,33
approaching,33
ease,33
progress,33
outside,33
skipped,33
swayed,33
rented,33
picks,33
younger,33
abdomen,33
encounter,33
was-spotted,33
searching,33
was-question,33
was-blamed,33
painted,33
credit,33
shift,33
was-changed,33
endured,33
didn,33
purchased,33
fire,33
doubts,33
sing,33
hour,33
was-placed,33
weighed,33
shakes,33
bearings,33
focused,33
insistence,33
spied,33
was-notice,33
english,33
was-kicked,33
cloak,33
was-beaten,32
note,32
pretend,32
was-putting,32
mission,32
release,32
was-offended,32
fail,32
become,32
comfort,32
was-accepted,32
prove,32
glimpsed,32
stops,32
subject,32
was-admitted,32
reappeared,32
was-meeting,32
sweating,32
chided,32
insists,32
trouble,32
claim,32
spared,32
performance,32
roll,32
shrank,32
whisper,32
doubt,32
peace,32
boot,32
finding,32
girlfriend,32
approval,32
bow,32
identify,32
thin,32
suffer,32
group,32
fetched,32
swam,32
points,32
was-mentioned,32
flat,32
was-tied,32
briefly,32
rooms,32
